abandoned	@.b.{.n.d.@.n.d.	@.b.{.n.d.@.n.
subjected	s.@.b._.E.k.t.I.d.	s.@.b._.E.k.t.
subjoined	".s.V.b._.4.n.d.	".s.V.b._.4.n.
subjugated	s.V.b._.U.g.1.t.I.d.	s.V.b._.U.g.1.t.
subleased	".s.V.b.l.i.s.t.	".s.V.b.l.i.s.
sublimated	s.V.b.l.I.m.1.t.I.d.	s.V.b.l.I.m.1.t.
submerged	s.@.b.m.3._.d.	s.@.b.m.3._.
submersed	s.@.b.m.3.s.t.	s.@.b.m.3.s.
submitted	s.@.b.m.I.t.I.d.	s.@.b.m.I.t.
subordinated	s.@.b.$.d.I.n.1.t.I.d.	s.@.b.$.d.I.n.1.t.
suborned	s.V.b.$.n.d.	s.V.b.$.n.
subpoenaed	s.@.b.p.i.n.@.d.	s.@.b.p.i.n.@.
subscribed	s.@.b.s.k.r.2.b.d.	s.@.b.s.k.r.2.b.
subserved	s.@.b.s.3.v.d.	s.@.b.s.3.v.
subsided	s.@.b.s.2.d.I.d.	s.@.b.s.2.d.
subsidized	s.V.b.s.I.d.2.z.d.	s.V.b.s.I.d.2.z.
subsisted	s.@.b.s.I.s.t.I.d.	s.@.b.s.I.s.t.
substantiated	s.@.b.s.t.{.n.S.I.1.t.I.d.	s.@.b.s.t.{.n.S.I.1.t.
substituted	s.V.b.s.t.I.t.j.u.t.I.d.	s.V.b.s.t.I.t.j.u.t.
subsumed	s.@.b.s.j.u.m.d.	s.@.b.s.j.u.m.
subtended	s.@.b.t.E.n.d.I.d.	s.@.b.t.E.n.d.
subtracted	s.@.b.t.r.{.k.t.I.d.	s.@.b.t.r.{.k.t.
subverted	s.V.b.v.3.t.I.d.	s.V.b.v.3.t.
succeeded	s.@.k.s.i.d.I.d.	s.@.k.s.i.d.
succoured	s.V.k.@.d.	s.V.k.@.R.
succumbed	s.@.k.V.m.d.	s.@.k.V.m.
sucked	s.V.k.t.	s.V.k.
suckled	s.V.k.P.d.	s.V.k.P.
sued	s.u.d.	s.u.
suffered	s.V.f.@.d.	s.V.f.@.R.
sufficed	s.@.f.2.s.t.	s.@.f.2.s.
suffocated	s.V.f.@.k.1.t.I.d.	s.V.f.@.k.1.t.
suffused	s.@.f.j.u.z.d.	s.@.f.j.u.z.
sugared	S.U.g.@.d.	S.U.g.@.R.
suggested	s.@._.E.s.t.I.d.	s.@._.E.s.t.
suited	s.u.t.I.d.	s.u.t.
sulked	s.V.l.k.t.	s.V.l.k.
sullied	s.V.l.I.d.	s.V.l.I.
sulphuretted	s.V.l.f.j.U.r.E.t.I.d.	s.V.l.f.j.U.r.E.t.
summarized	s.V.m.@.r.2.z.d.	s.V.m.@.r.2.z.
summered	s.V.m.@.d.	s.V.m.@.R.
summoned	s.V.m.@.n.d.	s.V.m.@.n.
summonsed	s.V.m.@.n.z.d.	s.V.m.@.n.z.
sunbathed	s.V.n.b.1.D.d.	s.V.n.b.1.D.
sundered	s.V.n.d.@.d.	s.V.n.d.@.R.
sunned	s.V.n.d.	s.V.n.
superabounded	".s.u.p.@.r.@.b.6.n.d.I.d.	".s.u.p.@.r.@.b.6.n.d.
superannuated	".s.u.p.@.r.{.n.j.U.1.t.I.d.	".s.u.p.@.r.{.n.j.U.1.t.
superimposed	".s.u.p.@.r.I.m.p.5.z.d.	".s.u.p.@.r.I.m.p.5.z.
superintended	".s.u.p.@.r.I.n.t.E.n.d.I.d.	".s.u.p.@.r.I.n.t.E.n.d.
superscribed	".s.u.p.@.s.k.r.2.b.d.	".s.u.p.@.s.k.r.2.b.
superseded	".s.u.p.@.s.i.d.I.d.	".s.u.p.@.s.i.d.
supervened	".s.u.p.@.v.i.n.d.	".s.u.p.@.v.i.n.
supervised	s.u.p.@.v.2.z.d.	s.u.p.@.v.2.z.
supped	s.V.p.t.	s.V.p.
supplanted	s.@.p.l.#.n.t.I.d.	s.@.p.l.#.n.t.
supplemented	s.V.p.l.I.m.E.n.t.I.d.	s.V.p.l.I.m.E.n.t.
supplicated	s.V.p.l.I.k.1.t.I.d.	s.V.p.l.I.k.1.t.
supplied	s.@.p.l.2.d.	s.@.p.l.2.
supported	s.@.p.$.t.I.d.	s.@.p.$.t.
supposed	s.@.p.5.z.d.	s.@.p.5.z.
suppressed	s.@.p.r.E.s.t.	s.@.p.r.E.s.
suppurated	s.V.p.j.9.r.1.t.I.d.	s.V.p.j.9.r.1.t.
surcharged	s.3.J.#._.d.	s.3.J.#._.
surfaced	s.3.f.I.s.t.	s.3.f.I.s.
surfed	s.3.f.t.	s.3.f.
surfeited	s.3.f.I.t.I.d.	s.3.f.I.t.
surged	s.3._.d.	s.3._.
surmised	s.3.m.2.z.d.	s.3.m.2.z.
surmounted	s.3.m.6.n.t.I.d.	s.3.m.6.n.t.
surpassed	s.@.p.#.s.t.	s.@.p.#.s.
surprised	s.@.p.r.2.z.d.	s.@.p.r.2.z.
surrendered	s.@.r.E.n.d.@.d.	s.@.r.E.n.d.@.R.
surrounded	s.@.r.6.n.d.I.d.	s.@.r.6.n.d.
surtaxed	s.3.t.{.k.s.t.	s.3.t.{.k.s.
surveyed	s.@.v.1.d.	s.@.v.1.
survived	s.@.v.2.v.d.	s.@.v.2.v.
suspected	s.@.s.p.E.k.t.I.d.	s.@.s.p.E.k.t.
suspended	s.@.s.p.E.n.d.I.d.	s.@.s.p.E.n.d.
sustained	s.@.s.t.1.n.d.	s.@.s.t.1.n.
swabbed	s.w.Q.b.d.	s.w.Q.b.
swaddled	s.w.Q.d.P.d.	s.w.Q.d.P.
swagged	s.w.{.g.d.	s.w.{.g.
swaggered	s.w.{.g.@.d.	s.w.{.g.@.R.
swallowed	s.w.Q.l.5.d.	s.w.Q.l.5.
swam	s.w.{.m.	s.w.I.m.
swamped	s.w.Q.m.p.t.	s.w.Q.m.p.
swanked	s.w.{.N.k.t.	s.w.{.N.k.
swanned	s.w.Q.n.d.	s.w.Q.n.
swapped	s.w.Q.p.t.	s.w.Q.p.
swarmed	s.w.$.m.d.	s.w.$.m.
swashed	s.w.Q.S.t.	s.w.Q.S.
swathed	s.w.1.D.d.	s.w.1.D.
swatted	s.w.Q.t.I.d.	s.w.Q.t.
swayed	s.w.1.d.	s.w.1.
sweated	s.w.E.t.I.d.	s.w.E.t.
sweetened	s.w.i.t.H.d.	s.w.i.t.H.
swelled	s.w.E.l.d.	s.w.E.l.
sweltered	s.w.E.l.t.@.d.	s.w.E.l.t.@.R.
swept	s.w.E.p.t.	s.w.i.p.
swerved	s.w.3.v.d.	s.w.3.v.
swigged	s.w.I.g.d.	s.w.I.g.
swilled	s.w.I.l.d.	s.w.I.l.
swindled	s.w.I.n.d.P.d.	s.w.I.n.d.P.
swinged	s.w.I.n._.d.	s.w.I.n._.
swiped	s.w.2.p.t.	s.w.2.p.
swirled	s.w.3.l.d.	s.w.3.l.
swished	s.w.I.S.t.	s.w.I.S.
switched	s.w.I.J.t.	s.w.I.J.
swivelled	s.w.I.v.P.d.	s.w.I.v.P.
swooned	s.w.u.n.d.	s.w.u.n.
swooped	s.w.u.p.t.	s.w.u.p.
swore	s.w.$.R.	s.w.8.R.
swotted	s.w.Q.t.I.d.	s.w.Q.t.
swung	s.w.V.N.	s.w.I.N.
syllabicated	s.I.l.{.b.I.k.1.t.I.d.	s.I.l.{.b.I.k.1.t.
syllabified	s.I.l.{.b.I.f.2.d.	s.I.l.{.b.I.f.2.
syllabized	s.I.l.@.b.2.z.d.	s.I.l.@.b.2.z.
symbolized	s.I.m.b.@.l.2.z.d.	s.I.m.b.@.l.2.z.
sympathized	s.I.m.p.@.T.2.z.d.	s.I.m.p.@.T.2.z.
synchronized	s.I.N.k.r.@.n.2.z.d.	s.I.N.k.r.@.n.2.z.
syncopated	s.I.N.k.@.p.1.t.I.d.	s.I.N.k.@.p.1.t.
syndicated	s.I.n.d.I.k.1.t.I.d.	s.I.n.d.I.k.1.t.
synthesized	s.I.n.T.@.s.2.z.d.	s.I.n.T.@.s.2.z.
syringed	s.I.r.I.n._.d.	s.I.r.I.n._.
systematized	s.I.s.t.I.m.@.t.2.z.d.	s.I.s.t.I.m.@.t.2.z.
tabled	t.1.b.P.d.	t.1.b.P.
tabooed	t.@.b.u.d.	t.@.b.u.
tabulated	t.{.b.j.U.l.1.t.I.d.	t.{.b.j.U.l.1.t.
tacked	t.{.k.t.	t.{.k.
tackled	t.{.k.P.d.	t.{.k.P.
tagged	t.{.g.d.	t.{.g.
tailed	t.1.l.d.	t.1.l.
tailored	t.1.l.@.d.	t.1.l.@.R.
tainted	t.1.n.t.I.d.	t.1.n.t.
talked	t.$.k.t.	t.$.k.
tallied	t.{.l.I.d.	t.{.l.I.
tamed	t.1.m.d.	t.1.m.
tamped	t.{.m.p.t.	t.{.m.p.
tangled	t.{.N.g.P.d.	t.{.N.g.P.
tangoed	t.{.N.g.5.d.	t.{.N.g.5.
tanned	t.{.n.d.	t.{.n.
tantalized	t.{.n.t.@.l.2.z.d.	t.{.n.t.@.l.2.z.
tap-danced	t.{.p.d.#.n.s.t.	t.{.p.d.#.n.s.
taped	t.1.p.t.	t.1.p.
tapered	t.1.p.@.d.	t.1.p.@.R.
tapped	t.{.p.t.	t.{.p.
tapped	t.{.p.t.	t.{.p.
tarmacadamed	".t.#.m.@.k.{.d.@.m.d.	".t.#.m.@.k.{.d.@.m.
tarmacked	t.#.m.{.k.t.	t.#.m.{.k.
tarnished	t.#.n.I.S.t.	t.#.n.I.S.
tarred	t.#.d.	t.#.R.
tarried	t.{.r.I.d.	t.{.r.I.
tasked	t.#.s.k.t.	t.#.s.k.
tasted	t.1.s.t.I.d.	t.1.s.t.
tatted	t.{.t.I.d.	t.{.t.
tattled	t.{.t.P.d.	t.{.t.P.
tattooed	t.@.t.u.d.	t.@.t.u.
taught	t.$.t.	t.i.J.
taunted	t.$.n.t.I.d.	t.$.n.t.
taxed	t.{.k.s.t.	t.{.k.s.
taxied	t.{.k.s.I.d.	t.{.k.s.I.
teased	t.i.z.d.	t.i.z.
teed	t.i.d.	t.i.
teemed	t.i.m.d.	t.i.m.
teetered	t.i.t.@.d.	t.i.t.@.R.
teethed	t.i.D.d.	t.i.D.
telegraphed	t.E.l.I.g.r.#.f.t.	t.E.l.I.g.r.#.f.
telephoned	t.E.l.I.f.5.n.d.	t.E.l.I.f.5.n.
telescoped	t.E.l.I.s.k.5.p.t.	t.E.l.I.s.k.5.p.
televised	t.E.l.I.v.2.z.d.	t.E.l.I.v.2.z.
telexed	t.E.l.E.k.s.t.	t.E.l.E.k.s.
tempered	t.E.m.p.@.d.	t.E.m.p.@.R.
temporized	t.E.m.p.@.r.2.z.d.	t.E.m.p.@.r.2.z.
tempted	t.E.m.p.t.I.d.	t.E.m.p.t.
tenanted	t.E.n.@.n.t.I.d.	t.E.n.@.n.t.
tended	t.E.n.d.I.d.	t.E.n.d.
tendered	t.E.n.d.@.d.	t.E.n.d.@.R.
tendered	t.E.n.d.@.d.	t.E.n.d.@.R.
tenderized	t.E.n.d.@.r.2.z.d.	t.E.n.d.@.r.2.z.
tensed	t.E.n.s.t.	t.E.n.s.
tergiversated	t.3._.I.v.3.s.1.t.I.d.	t.3._.I.v.3.s.1.t.
termed	t.3.m.d.	t.3.m.
terminated	t.3.m.I.n.1.t.I.d.	t.3.m.I.n.1.t.
terraced	t.E.r.@.s.t.	t.E.r.@.s.
terrified	t.E.r.I.f.2.d.	t.E.r.I.f.2.
terrorized	t.E.r.@.r.2.z.d.	t.E.r.@.r.2.z.
tessellated	t.E.s.@.l.1.t.I.d.	t.E.s.@.l.1.t.
test-drove	t.E.s.t.d.r.5.v.	t.E.s.t.d.r.2.v.
tested	t.E.s.t.I.d.	t.E.s.t.
testified	t.E.s.t.I.f.2.d.	t.E.s.t.I.f.2.
tethered	t.E.D.@.d.	t.E.D.@.R.
thanked	T.{.N.k.t.	T.{.N.k.
thatched	T.{.J.t.	T.{.J.
thawed	T.$.d.	T.$.
theorized	T.7.r.2.z.d.	T.7.r.2.z.
thickened	T.I.k.@.n.d.	T.I.k.@.n.
thieved	T.i.v.d.	T.i.v.
thinned	T.I.n.d.	T.I.n.
thirsted	T.3.s.t.I.d.	T.3.s.t.
thought	T.$.t.	T.I.N.k.
thrashed	T.r.{.S.t.	T.r.{.S.
threaded	T.r.E.d.I.d.	T.r.E.d.
threatened	T.r.E.t.H.d.	T.r.E.t.H.
threshed	T.r.E.S.t.	T.r.E.S.
threw	T.r.u.	T.r.5.
thrilled	T.r.I.l.d.	T.r.I.l.
thrived	T.r.2.v.d.	T.r.2.v.
throbbed	T.r.Q.b.d.	T.r.Q.b.
thronged	T.r.Q.N.d.	T.r.Q.N.
throttled	T.r.Q.t.P.d.	T.r.Q.t.P.
throve	T.r.5.v.	T.r.2.v.
thrummed	T.r.V.m.d.	T.r.V.m.
thudded	T.V.d.I.d.	T.V.d.
thumbed	T.V.m.d.	T.V.m.
thumped	T.V.m.p.t.	T.V.m.p.
thundered	T.V.n.d.@.d.	T.V.n.d.@.R.
thwacked	T.w.{.k.t.	T.w.{.k.
thwarted	T.w.$.t.I.d.	T.w.$.t.
ticked	t.I.k.t.	t.I.k.
ticketed	t.I.k.I.t.I.d.	t.I.k.I.t.
tickled	t.I.k.P.d.	t.I.k.P.
tidied	t.2.d.I.d.	t.2.d.I.
tied	t.2.d.	t.2.
tie-dyed	t.2.d.2.d.	t.2.d.2.
tightened	t.2.t.H.d.	t.2.t.H.
tiled	t.2.l.d.	t.2.l.
tilled	t.I.l.d.	t.I.l.
tilted	t.I.l.t.I.d.	t.I.l.t.
timed	t.2.m.d.	t.2.m.
timetabled	t.2.m.".t.1.b.P.d.	t.2.m.".t.1.b.P.
tinctured	t.I.N.k.J.@.d.	t.I.N.k.J.@.R.
tinged	t.I.N.d.	t.I.N.
tinged	t.I.n._.d.	t.I.n._.
tingled	t.I.N.g.P.d.	t.I.N.g.P.
tinkered	t.I.N.k.@.d.	t.I.N.k.@.R.
tinkled	t.I.N.k.P.d.	t.I.N.k.P.
tinned	t.I.n.d.	t.I.n.
tinselled	t.I.n.s.P.d.	t.I.n.s.P.
tinted	t.I.n.t.I.d.	t.I.n.t.
tipped	t.I.p.t.	t.I.p.
tippled	t.I.p.P.d.	t.I.p.P.
tiptoed	t.I.p.t.5.d.	t.I.p.t.5.
tired	t.2.@.d.	t.2.@.R.
titillated	t.I.t.I.l.1.t.I.d.	t.I.t.I.l.1.t.
titivated	t.I.t.I.v.1.t.I.d.	t.I.t.I.v.1.t.
tittered	t.I.t.@.d.	t.I.t.@.R.
tittle-tattled	t.I.t.P.".t.{.t.P.d.	t.I.t.P.".t.{.t.P.
toadied	t.5.d.I.d.	t.5.d.I.
toasted	t.5.s.t.I.d.	t.5.s.t.
tobogganed	t.@.b.Q.g.@.n.d.	t.@.b.Q.g.@.n.
toddled	t.Q.d.P.d.	t.Q.d.P.
toiled	t.4.l.d.	t.4.l.
tokened	t.5.k.@.n.d.	t.5.k.@.n.
told	t.5.l.d.	t.E.l.
tolerated	t.Q.l.@.r.1.t.I.d.	t.Q.l.@.r.1.t.
tolled	t.5.l.d.	t.5.l.
tomahawked	t.Q.m.@.h.$.k.t.	t.Q.m.@.h.$.k.
toned	t.5.n.d.	t.5.n.
tonsured	t.Q.n.S.@.d.	t.Q.n.S.@.R.
took	t.U.k.	t.1.k.
tooled	t.u.l.d.	t.u.l.
tooted	t.u.t.I.d.	t.u.t.
tootled	t.u.t.P.d.	t.u.t.P.
top-dressed	".t.Q.p.d.r.E.s.t.	".t.Q.p.d.r.E.s.
toped	t.5.p.t.	t.5.p.
topped	t.Q.p.t.	t.Q.p.
toppled	t.Q.p.P.d.	t.Q.p.P.
tore	t.$.R.	t.8.R.
tormented	t.$.m.E.n.t.I.d.	t.$.m.E.n.t.
torpedoed	t.$.p.i.d.5.d.	t.$.p.i.d.5.
tortured	t.$.J.@.d.	t.$.J.@.R.
tossed	t.Q.s.t.	t.Q.s.
totalized	t.5.t.@.l.2.z.d.	t.5.t.@.l.2.z.
totalled	t.5.t.P.d.	t.5.t.P.
toted	t.5.t.I.d.	t.5.t.
tottered	t.Q.t.@.d.	t.Q.t.@.R.
touched	t.V.J.t.	t.V.J.
touch-typed	t.V.J.t.2.p.t.	t.V.J.t.2.p.
toughened	t.V.f.H.d.	t.V.f.H.
toured	t.9.d.	t.9.R.
tousled	t.6.z.P.d.	t.6.z.P.
touted	t.6.t.I.d.	t.6.t.
towed	t.5.d.	t.5.
towelled	t.6.@.l.d.	t.6.@.l.
towered	t.6.@.d.	t.6.@.R.
traced	t.r.1.s.t.	t.r.1.s.
tracked	t.r.{.k.t.	t.r.{.k.
traded	t.r.1.d.I.d.	t.r.1.d.
traduced	t.r.@.d.j.u.s.t.	t.r.@.d.j.u.s.
trafficked	t.r.{.f.I.k.t.	t.r.{.f.I.k.
trailed	t.r.1.l.d.	t.r.1.l.
trained	t.r.1.n.d.	t.r.1.n.
traipsed	t.r.1.p.s.t.	t.r.1.p.s.
trammelled	t.r.{.m.P.d.	t.r.{.m.P.
tramped	t.r.{.m.p.t.	t.r.{.m.p.
trampled	t.r.{.m.p.P.d.	t.r.{.m.p.P.
tranquillized	t.r.{.N.k.w.I.l.2.z.d.	t.r.{.N.k.w.I.l.2.z.
transacted	t.r.{.n.z.{.k.t.I.d.	t.r.{.n.z.{.k.t.
transcended	t.r.{.n.s.E.n.d.I.d.	t.r.{.n.s.E.n.d.
transcribed	t.r.{.n.s.k.r.2.b.d.	t.r.{.n.s.k.r.2.b.
transferred	t.r.{.n.s.f.3.d.	t.r.{.n.s.f.3.R.
transfigured	t.r.{.n.s.f.I.g.@.d.	t.r.{.n.s.f.I.g.@.R.
transfixed	t.r.{.n.s.f.I.k.s.t.	t.r.{.n.s.f.I.k.s.
transformed	t.r.{.n.s.f.$.m.d.	t.r.{.n.s.f.$.m.
transfused	t.r.{.n.s.f.j.u.z.d.	t.r.{.n.s.f.j.u.z.
transgressed	t.r.{.n.s.g.r.E.s.t.	t.r.{.n.s.g.r.E.s.
transistorized	t.r.{.n.s.I.s.t.@.r.2.z.d.	t.r.{.n.s.I.s.t.@.r.2.z.
translated	t.r.{.n.s.l.1.t.I.d.	t.r.{.n.s.l.1.t.
transliterated	t.r.{.n.z.l.I.t.@.r.1.t.I.d.	t.r.{.n.z.l.I.t.@.r.1.t.
transmigrated	".t.r.{.n.z.m.2.g.r.1.t.I.d.	".t.r.{.n.z.m.2.g.r.1.t.
transmitted	t.r.{.n.z.m.I.t.I.d.	t.r.{.n.z.m.I.t.
transmogrified	t.r.{.n.z.m.Q.g.r.I.f.2.d.	t.r.{.n.z.m.Q.g.r.I.f.2.
transmuted	t.r.{.n.z.m.j.u.t.I.d.	t.r.{.n.z.m.j.u.t.
transpired	t.r.{.n.s.p.2.@.d.	t.r.{.n.s.p.2.@.R.
transplanted	t.r.{.n.s.p.l.#.n.t.I.d.	t.r.{.n.s.p.l.#.n.t.
transported	t.r.{.n.s.p.$.t.I.d.	t.r.{.n.s.p.$.t.
transposed	t.r.{.n.s.p.5.z.d.	t.r.{.n.s.p.5.z.
transshipped	t.r.{.n.s.S.I.p.t.	t.r.{.n.s.S.I.p.
transubstantiated	".t.r.{.n.s.@.b.s.t.{.n.S.I.1.t.I.d.	".t.r.{.n.s.@.b.s.t.{.n.S.I.1.t.
trapped	t.r.{.p.t.	t.r.{.p.
travelled	t.r.{.v.P.d.	t.r.{.v.P.
traversed	t.r.{.v.@.s.t.	t.r.{.v.@.s.
travestied	t.r.{.v.@.s.t.I.d.	t.r.{.v.@.s.t.I.
trawled	t.r.$.l.d.	t.r.$.l.
treadled	t.r.E.d.P.d.	t.r.E.d.P.
treasured	t.r.E.Z.@.d.	t.r.E.Z.@.R.
treated	t.r.i.t.I.d.	t.r.i.t.
trebled	t.r.E.b.P.d.	t.r.E.b.P.
treed	t.r.i.d.	t.r.i.
trekked	t.r.E.k.t.	t.r.E.k.
trellised	t.r.E.l.I.s.t.	t.r.E.l.I.s.
trembled	t.r.E.m.b.P.d.	t.r.E.m.b.P.
trenched	t.r.E.n.J.t.	t.r.E.n.J.
trended	t.r.E.n.d.I.d.	t.r.E.n.d.
trepanned	t.r.I.p.{.n.d.	t.r.I.p.{.n.
trephined	t.r.I.f.i.n.d.	t.r.I.f.i.n.
trespassed	t.r.E.s.p.@.s.t.	t.r.E.s.p.@.s.
tricked	t.r.I.k.t.	t.r.I.k.
trickled	t.r.I.k.P.d.	t.r.I.k.P.
tried	t.r.2.d.	t.r.2.
triggered	t.r.I.g.@.d.	t.r.I.g.@.R.
trilled	t.r.I.l.d.	t.r.I.l.
trimmed	t.r.I.m.d.	t.r.I.m.
tripled	t.r.I.p.P.d.	t.r.I.p.P.
triplicated	t.r.I.p.l.I.k.1.t.I.d.	t.r.I.p.l.I.k.1.t.
tripped	t.r.I.p.t.	t.r.I.p.
trisected	t.r.2.s.E.k.t.I.d.	t.r.2.s.E.k.t.
triumphed	t.r.2.@.m.f.t.	t.r.2.@.m.f.
trivialized	t.r.I.v.7.l.2.z.d.	t.r.I.v.7.l.2.z.
trod	t.r.Q.d.	t.r.E.d.
trolled	t.r.5.l.d.	t.r.5.l.
trooped	t.r.u.p.t.	t.r.u.p.
trotted	t.r.Q.t.I.d.	t.r.Q.t.
troubled	t.r.V.b.P.d.	t.r.V.b.P.
trounced	t.r.6.n.s.t.	t.r.6.n.s.
trudged	t.r.V._.d.	t.r.V._.
trumped	t.r.V.m.p.t.	t.r.V.m.p.
trumpeted	t.r.V.m.p.I.t.I.d.	t.r.V.m.p.I.t.
truncated	t.r.V.N.k.1.t.I.d.	t.r.V.N.k.1.t.
trundled	t.r.V.n.d.P.d.	t.r.V.n.d.P.
trussed	t.r.V.s.t.	t.r.V.s.
trusted	t.r.V.s.t.I.d.	t.r.V.s.t.
tubed	t.j.u.b.d.	t.j.u.b.
tucked	t.V.k.t.	t.V.k.
tugged	t.V.g.d.	t.V.g.
tumbled	t.V.m.b.P.d.	t.V.m.b.P.
tuned	t.j.u.n.d.	t.j.u.n.
tunnelled	t.V.n.P.d.	t.V.n.P.
turfed	t.3.f.t.	t.3.f.
turned	t.3.n.d.	t.3.n.
tussled	t.V.s.P.d.	t.V.s.P.
tutored	t.j.u.t.@.d.	t.j.u.t.@.R.
tutted	t.V.t.I.d.	t.V.t.
tut-tutted	".t.V.t.t.V.t.I.d.	".t.V.t.t.V.t.
twaddled	t.w.Q.d.P.d.	t.w.Q.d.P.
twanged	t.w.{.N.d.	t.w.{.N.
tweaked	t.w.i.k.t.	t.w.i.k.
tweeted	t.w.i.t.I.d.	t.w.i.t.
twiddled	t.w.I.d.P.d.	t.w.I.d.P.
twigged	t.w.I.g.d.	t.w.I.g.
twined	t.w.2.n.d.	t.w.2.n.
twinkled	t.w.I.N.k.P.d.	t.w.I.N.k.P.
twinned	t.w.I.n.d.	t.w.I.n.
twirled	t.w.3.l.d.	t.w.3.l.
twisted	t.w.I.s.t.I.d.	t.w.I.s.t.
twitched	t.w.I.J.t.	t.w.I.J.
twitted	t.w.I.t.I.d.	t.w.I.t.
twittered	t.w.I.t.@.d.	t.w.I.t.@.R.
two-timed	t.u.t.2.m.d.	t.u.t.2.m.
typed	t.2.p.t.	t.2.p.
typewrote	t.2.p.r.5.t.	t.2.p.r.2.t.
typified	t.I.p.I.f.2.d.	t.I.p.I.f.2.
tyrannized	t.I.r.@.n.2.z.d.	t.I.r.@.n.2.z.
uglified	V.g.l.I.f.2.d.	V.g.l.I.f.2.
ulcerated	V.l.s.@.r.1.t.I.d.	V.l.s.@.r.1.t.
ululated	j.u.l.j.U.l.1.t.I.d.	j.u.l.j.U.l.1.t.
umpired	V.m.p.2.@.d.	V.m.p.2.@.R.
unarmed	".V.n.#.m.d.	".V.n.#.m.
unbalanced	".V.n.b.{.l.@.n.s.t.	".V.n.b.{.l.@.n.s.
unbarred	".V.n.b.#.d.	".V.n.b.#.R.
unbended	".V.n.b.E.n.d.I.d.	".V.n.b.E.n.d.
unbent	".V.n.b.E.n.t.	".V.n.b.E.n.d.
unbosomed	".V.n.b.U.z.@.m.d.	".V.n.b.U.z.@.m.
unbound	".V.n.b.6.n.d.	".V.n.b.2.n.d.
unbuckled	".V.n.b.V.k.P.d.	".V.n.b.V.k.P.
unburdened	".V.n.b.3.d.H.d.	".V.n.b.3.d.H.
uncorked	".V.n.k.$.k.t.	".V.n.k.$.k.
uncoupled	".V.n.k.V.p.P.d.	".V.n.k.V.p.P.
uncovered	V.n.k.V.v.@.d.	V.n.k.V.v.@.R.
undeceived	".V.n.d.I.s.i.v.d.	".V.n.d.I.s.i.v.
underacted	".V.n.d.@.r.{.k.t.I.d.	".V.n.d.@.r.{.k.t.
undercharged	".V.n.d.@.J.#._.d.	".V.n.d.@.J.#._.
underestimated	".V.n.d.@.r.E.s.t.I.m.1.t.I.d.	".V.n.d.@.r.E.s.t.I.m.1.t.
underexposed	".V.n.d.@.r.I.k.s.p.5.z.d.	".V.n.d.@.r.I.k.s.p.5.z.
underlay	".V.n.d.@.l.1.	".V.n.d.@.l.2.
underlined	".V.n.d.@.l.2.n.d.	".V.n.d.@.l.2.n.
undermined	".V.n.d.@.m.2.n.d.	".V.n.d.@.m.2.n.
undernourished	".V.n.d.@.n.V.r.I.S.t.	".V.n.d.@.n.V.r.I.S.
underpaid	".V.n.d.@.p.1.d.	".V.n.d.@.p.1.
underpinned	".V.n.d.@.p.I.n.d.	".V.n.d.@.p.I.n.
underplayed	".V.n.d.@.p.l.1.d.	".V.n.d.@.p.l.1.
underquoted	".V.n.d.@.k.w.5.t.I.d.	".V.n.d.@.k.w.5.t.
underrated	".V.n.d.@.r.1.t.I.d.	".V.n.d.@.r.1.t.
underscored	".V.n.d.@.s.k.$.d.	".V.n.d.@.s.k.$.R.
undershot	".V.n.d.@.S.Q.t.	".V.n.d.@.S.u.t.
undersigned	".V.n.d.@.s.2.n.d.	".V.n.d.@.s.2.n.
undersold	".V.n.d.@.s.Q.l.d.	".V.n.d.@.s.E.l.
understated	".V.n.d.@.s.t.1.t.I.d.	".V.n.d.@.s.t.1.t.
understocked	".V.n.d.@.s.t.Q.k.t.	".V.n.d.@.s.t.Q.k.
understood	".V.n.d.@.s.t.u.d.	".V.n.d.@.s.t.{.n.d.
understudied	V.n.d.@.".s.t.V.d.I.d.	V.n.d.@.".s.t.V.d.I.
undertook	".V.n.d.@.t.u.k.	".V.n.d.@.t.1.k.
undervalued	".V.n.d.@.v.{.l.j.u.d.	".V.n.d.@.v.{.l.j.u.
underwent	".V.n.d.@.w.E.n.t.	".V.n.d.@.g.5.
underwrote	V.n.d.@.r.5.t.	V.n.d.@.r.2.t.
undid	".V.n.d.I.d.	".V.n.d.u.
undocked	".V.n.d.Q.k.t.	".V.n.d.Q.k.
undressed	".V.n.d.r.E.s.t.	".V.n.d.r.E.s.
undulated	V.n.d.j.U.l.1.t.I.d.	V.n.d.j.U.l.1.t.
unearthed	".V.n.3.T.t.	".V.n.3.T.
unfolded	".V.n.f.5.l.d.I.d.	".V.n.f.5.l.d.
unfrocked	".V.n.f.r.Q.k.t.	".V.n.f.r.Q.k.
unfurled	".V.n.f.3.l.d.	".V.n.f.3.l.
unhanded	".V.n.h.{.n.d.I.d.	".V.n.h.{.n.d.
unhinged	".V.n.h.I.n._.d.	".V.n.h.I.n._.
unhooked	".V.n.h.U.k.t.	".V.n.h.U.k.
unhorsed	".V.n.h.$.s.t.	".V.n.h.$.s.
unified	j.u.n.I.f.2.d.	j.u.n.I.f.2.
unionized	j.u.n.j.@.n.2.z.d.	j.u.n.j.@.n.2.z.
united	j.u.n.2.t.I.d.	j.u.n.2.t.
unlearned	".V.n.l.3.n.d.	".V.n.l.3.n.
